keys,uk,en
ARRIVAL_CONTEXT_LABEL,АВТОВОКЗАЛ  •  ПЕРШИЙ ДЕНЬ,BUS STATION  •  DAY ONE
ARRIVAL_BEAT_1_TITLE,Новий маршрут,New Route
ARRIVAL_BEAT_1_NARRATIVE,"У залі очікування автовокзалу випадковий співрозмовник помічає ваш квиток. Ви кажете, що їдете починати нове життя у місті, де нікого не знаєте.","In the bus station waiting hall, a stranger notices your ticket. You say you are heading to start a new life in a city where you know no one."
ARRIVAL_BEAT_2_TITLE,Місто живе без пауз,The City Never Pauses
ARRIVAL_BEAT_2_TEEN_NARRATIVE,"«Не намагайтеся зрозуміти все одразу», — каже він. «Почніть із житла і простої роботи. Телефон підкаже наступний крок, а помилка не закриє шлях назавжди».","“Do not try to understand everything at once,” he says. “Start with a place to stay and a simple job. Your phone will suggest the next step, and one mistake will not close every path.”"
ARRIVAL_BEAT_2_ADULT_NARRATIVE,"«Не поспішайте», — відповідає він. «Тут усе росте поступово: робота, зв'язки, власна справа і вплив. Місто житиме навіть тоді, коли ви вийдете з гри».","“Take your time,” he replies. “Everything grows gradually here: work, connections, your own business, and influence. The city will keep living even when you log out.”"
ARRIVAL_BEAT_2_MATURE_NARRATIVE,"«Тут перемагає не поспіх, а план», — каже він. «Спершу стабільний дохід і резерв, потім земля, бізнес та вплив. Місто пам'ятає кожне довге рішення».","“Planning matters more than speed here,” he says. “Build stable income and a reserve first, then pursue land, business, and influence. The city remembers every long-term decision.”"
ARRIVAL_BEAT_3_TITLE,Перші хвилини,First Minutes
ARRIVAL_BEAT_3_NARRATIVE,"Автобус прибуває надвечір. Ви ловите таксі біля вокзалу, кладете багаж у машину і називаєте адресу. За кілька кварталів водій раптом зупиняється.","The bus arrives near dusk. You catch a taxi outside the station, put your luggage in the car, and give the address. A few blocks later, the driver suddenly stops."
ARRIVAL_STORY_NEXT,Далі,Continue
ARRIVAL_STORY_ARRIVE,Прибути до міста,Enter the city
ONBOARDING_ARRIVAL_CHOICE_TITLE,Новий початок,A New Beginning
ONBOARDING_ARRIVAL_CHOICE_NARRATIVE,"Таксі зникло разом із вашим багажем. У телефоні залишились фото документів, а в кишені лише стартові гроші. Можна звернутись у поліцію або негайно шукати житло.","The taxi disappeared with your luggage. You still have document photos on your phone and only your starting cash in your pocket. You can report the theft to the police or look for a place to stay immediately."
ONBOARDING_HOUSING_SEARCH_TITLE,Нічліг у новому місті,A Place for the Night
ONBOARDING_HOUSING_SEARCH_NARRATIVE,"Заяву прийнято. Тепер потрібно знайти безпечне житло на першу ніч.","Your report has been filed. Now you need to find a safe place to stay for the first night."
ONBOARDING_COMPLETED_TITLE,Прибуття завершено,Arrival Complete
ONBOARDING_COMPLETED_NARRATIVE,Перший вибір зроблено. Місто відкрите для наступного кроку.,Your first choice is made. The city is ready for your next step.
ONBOARDING_POLICE_PENDING,Поліція розслідує справу. Результат надійде окремо.,The police are investigating. You will receive the outcome separately.
ONBOARDING_POLICE_CLOSED,Заяву зареєстровано, але швидких зачіпок немає.,"Your report was registered, but there are no immediate leads."
ONBOARDING_POLICE_RECOVERED,Поліція вже повернула частину втрачених коштів.,The police have recovered part of the stolen money.
ONBOARDING_POLICE_BUTTON,Звернутися в поліцію,Report to police
ONBOARDING_POLICE_PENDING_BUTTON,Надсилаємо...,Submitting...
ONBOARDING_HOUSING_BUTTON,Шукати житло,Find a place to stay
ONBOARDING_HOUSING_PENDING_BUTTON,Шукаємо...,Searching...
POLICE_RECOVERY_DEFAULT,Забрати повернення,Claim recovery
POLICE_RECOVERY_PENDING,Отримуємо...,Claiming...
POLICE_RECOVERY_CLAIM,Забрати {amount} ₴,Claim {amount} ₴
POLICE_RECOVERY_PENDING_TOOLTIP,Поліція оформлює повернення.,The police are processing the recovery.
POLICE_RECOVERY_CLAIM_TOOLTIP,Отримати знайдену поліцією частину втрачених коштів.,Claim the portion of the stolen money recovered by police.
